Title,Price,Rating,Price_Category
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,Expensive
Join,35.67,5,Medium
In the Country We Love: My Family Divided,22.0,4,Medium
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,Expensive
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Medium
I am a Hero Omnibus Volume 1,54.63,3,Expensive
How to Be Miserable: 40 Strategies You Already Use,46.03,1,Expensive
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Medium
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Medium
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Medium
First and First (Five Boroughs #3),15.97,4,Cheap
Fifty Shades Darker (Fifty Shades #2),21.96,1,Medium
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,Expensive
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,Medium
Danganronpa Volume 1,51.99,4,Expensive
Crown of Midnight (Throne of Glass #2),43.29,3,Expensive
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Medium
Camp Midnight,17.08,4,Cheap
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Medium
Burning,28.81,3,Medium
Bossypants,49.46,2,Expensive
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Medium
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,Medium
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,Medium
A World of Flavor: Your Gluten Free Passport,42.95,1,Expensive
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,Expensive
A Murder in Time,16.64,1,Cheap
A Flight of Arrows (The Pathfinders #2),55.53,5,Expensive
A Fierce and Subtle Poison,28.13,4,Medium
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,Expensive
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,Expensive
You Are What You Love: The Spiritual Power of Habit,21.87,4,Medium
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Expensive
Tuesday Nights in 1980,21.04,2,Medium
Tracing Numbers on a Train,41.6,3,Expensive
Throne of Glass (Throne of Glass #1),35.07,3,Medium
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,Expensive
Thirteen Reasons Why,52.72,1,Expensive
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,Expensive
The Wedding Dress,24.12,1,Medium
The Vacationers,42.15,4,Expensive
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,Cheap
The Stranger,17.44,4,Cheap
The Shadow Hero (The Shadow Hero),33.14,1,Medium
The Secret (The Secret #1),27.37,4,Medium
The Regional Office Is Under Attack!,51.36,5,Expensive
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Medium
The Project,10.65,1,Cheap
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,Expensive
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,Medium
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Medium
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Expensive
The Mistake (Off-Campus #2),43.29,3,Expensive
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,Expensive
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Medium
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,Cheap
The Kite Runner,41.82,4,Expensive
The House by the Lake,36.95,1,Medium
The Glittering Court (The Glittering Court #1),44.28,1,Expensive
The Girl on the Train,55.02,2,Expensive
The Genius of Birds,17.24,1,Cheap
The Emerald Mystery,23.15,2,Medium
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Expensive
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Medium
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,Medium
The Art of War,33.34,5,Medium
The Argonauts,10.93,2,Cheap
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Medium
Suddenly in Love (Lake Haven #1),55.99,2,Expensive
Something More Than This,16.24,4,Cheap
Soft Apocalypse,26.12,2,Medium
So You've Been Publicly Shamed,12.23,2,Cheap
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Medium
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Medium
Secrets and Lace (Fatal Hearts #1),20.27,1,Medium
Scarlett Epstein Hates It Here,43.55,5,Expensive
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,Medium
Redeeming Love,20.47,5,Medium
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,Expensive
Poems That Make Grown Women Cry,14.19,4,Cheap
"Nightingale, Sing",38.28,1,Medium
Night Sky with Exit Wounds,41.05,1,Expensive
Mrs. Houdini,30.25,5,Medium
Modern Romance,28.26,5,Medium
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,Cheap
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,Cheap
Little Red,13.47,3,Cheap
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,Expensive
Large Print Heart of the Pride,19.15,2,Cheap
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Expensive
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,Expensive
Grumbles,22.16,2,Medium
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Expensive
Frostbite (Vampire Academy #2),29.99,5,Medium
Follow You Home,21.36,1,Medium
First Steps for New Christians (Print Edition),29.0,1,Medium
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Expensive
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Expensive
Eureka Trivia 6.0,54.59,4,Expensive
Drive: The Surprising Truth About What Motivates Us,34.95,4,Medium
Done Rubbed Out (Reightman & Bailey #1),37.72,5,Medium
Doing It Over (Most Likely To #1),35.61,3,Medium
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Expensive
Dark Notes,19.19,5,Cheap
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,Cheap
Close to You,49.46,4,Expensive
Chasing Heaven: What Dying Taught Me About Living,37.8,2,Medium
Big Magic: Creative Living Beyond Fear,30.8,3,Medium
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,Medium
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,Cheap
Batman: The Long Halloween (Batman),36.5,2,Medium
Batman: The Dark Knight Returns (Batman),15.38,5,Cheap
Ayumi's Violin,15.48,2,Cheap
Anonymous,46.82,4,Expensive
Amy Meets the Saints and Sages,18.46,3,Cheap
Amid the Chaos,36.58,1,Medium
Amatus,50.54,5,Expensive
Agnostic: A Spirited Manifesto,12.51,5,Cheap
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,Medium
You (You #1),43.61,5,Expensive
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,Medium
Wild Swans,14.36,2,Cheap
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,Expensive
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,Medium
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,Cheap
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,Expensive
Walt Disney's Alice in Wonderland,12.96,5,Cheap
V for Vendetta (V for Vendetta Complete),37.1,4,Medium
Until Friday Night (The Field Party #1),46.31,2,Expensive
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,Expensive
Twenty Yawns,22.08,2,Medium
Through the Woods,25.38,2,Medium
This Is Where It Ends,27.12,2,Medium
The Year of Magical Thinking,43.04,2,Expensive
The Wright Brothers,56.8,4,Expensive
The White Queen (The Cousins' War #1),25.91,5,Medium
The Wedding Pact (The O'Malleys #2),32.61,3,Medium
The Time Keeper,27.88,5,Medium
The Testament of Mary,52.67,4,Expensive
The Star-Touched Queen,46.02,5,Expensive
The Songs of the Gods,44.48,5,Expensive
The Song of Achilles,37.4,5,Medium
The Rosie Project (Don Tillman #1),54.04,1,Expensive
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,Cheap
The Marriage of Opposites,28.08,4,Medium
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,Cheap
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,Expensive
The Loney,23.4,1,Medium
The Literature Book (Big Ideas Simply Explained),17.43,3,Cheap
The Last Mile (Amos Decker #2),54.21,2,Expensive
The Immortal Life of Henrietta Lacks,40.67,2,Expensive
The Hidden Oracle (The Trials of Apollo #1),52.26,2,Expensive
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,Medium
The Guilty (Will Robie #4),13.82,2,Cheap
The First Hostage (J.B. Collins #2),25.85,3,Medium
The Dovekeepers,48.78,1,Expensive
The Darkest Lie,35.35,5,Medium
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,Expensive
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,Cheap
The 14th Colony (Cotton Malone #11),39.24,1,Medium
That Darkness (Gardiner and Renner #1),13.92,1,Cheap
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Cheap
Take Me with You,45.21,3,Expensive
Swell: A Year of Waves,45.58,1,Expensive
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Cheap
Still Life with Bread Crumbs,26.41,3,Medium
Steve Jobs,39.5,5,Medium
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,Expensive
Someone Like You (The Harrisons #2),52.79,5,Expensive
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,Medium
Shtum,55.84,4,Expensive
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Expensive
salt.,46.78,4,Expensive
Robin War,47.82,3,Expensive
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,Medium
Rain Fish,23.57,3,Medium
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,Expensive
Pet Sematary,10.56,3,Cheap
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,Expensive
Once Was a Time,18.28,2,Cheap
Old School (Diary of a Wimpy Kid #10),11.83,5,Cheap
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,Medium
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,Medium
My Name Is Lucy Barton,41.56,1,Expensive
My Mrs. Brown,24.48,3,Medium
My Kind of Crazy,40.36,1,Expensive
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Medium
More Than Music (Chasing the Dream #1),37.61,2,Medium
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,Medium
Luis Paints the World,53.95,3,Expensive
Luckiest Girl Alive,49.83,3,Expensive
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,Expensive
Love Is a Mix Tape (Music #1),18.03,1,Cheap
Looking for Lovely: Collecting the Moments that Matter,29.14,5,Medium
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,Expensive
Let It Out: A Journey Through Journaling,26.79,5,Medium
Lady Midnight (The Dark Artifices #1),16.28,5,Cheap
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,Cheap
Island of Dragons (Unwanteds #7),29.65,1,Medium
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Medium
I Am Pilgrim (Pilgrim #1),10.6,4,Cheap
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Cheap
"Hush, Hush (Hush, Hush #1)",47.02,3,Expensive
Hold Your Breath (Search and Rescue #1),28.82,1,Medium
Hamilton: The Revolution,58.79,3,Expensive
Greek Mythic History,10.23,5,Cheap
God: The Most Unpleasant Character in All Fiction,30.03,5,Medium
Glory over Everything: Beyond The Kitchen House,45.84,3,Expensive
Feathers: Displays of Brilliant Plumage,49.05,3,Expensive
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,Cheap
Every Last Word,46.47,3,Expensive
Eligible (The Austen Project #4),27.09,3,Medium
El Deafo,57.62,5,Expensive
Eight Hundred Grapes,14.39,4,Cheap
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,Expensive
"Eat Fat, Get Thin",54.07,2,Expensive
Don't Get Caught,55.35,1,Expensive
Doctor Sleep (The Shining #2),40.12,2,Expensive
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,Medium
Dear Mr. Knightley,11.21,5,Cheap
Daily Fantasy Sports,36.58,1,Medium
Crazy Love: Overwhelmed by a Relentless God,47.72,2,Expensive
Cometh the Hour (The Clifton Chronicles #6),25.01,3,Medium
Code Name Verity (Code Name Verity #1),22.13,4,Medium
Clockwork Angel (The Infernal Devices #1),44.14,1,Expensive
City of Glass (The Mortal Instruments #3),56.02,4,Expensive
City of Fallen Angels (The Mortal Instruments #4),11.23,4,Cheap
City of Bones (The Mortal Instruments #1),43.28,1,Expensive
City of Ashes (The Mortal Instruments #2),47.27,1,Expensive
Cell,20.29,4,Medium
Catching Jordan (Hundred Oaks),50.83,3,Expensive
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,Medium
Carrie,46.23,2,Expensive
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,Medium
Brain on Fire: My Month of Madness,49.32,5,Expensive
Batman: Europa,32.01,2,Medium
Barefoot Contessa Back to Basics,28.01,1,Medium
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,Expensive
Balloon Animals,17.03,3,Cheap
Art Ops Vol. 1,48.8,3,Expensive
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,Expensive
Angels Walking (Angels Walking #1),34.2,2,Medium
Angels & Demons (Robert Langdon #1),51.48,3,Expensive
All the Light We Cannot See,29.87,5,Medium
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,Cheap
Abstract City,56.37,5,Expensive
A Time of Torment (Charlie Parker #14),48.35,5,Expensive
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Cheap
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,Expensive
A People's History of the United States,40.79,2,Expensive
A Man Called Ove,39.72,1,Medium
A Distant Mirror: The Calamitous 14th Century,14.58,3,Cheap
A Brush of Wings (Angels Walking #3),55.51,1,Expensive
1491: New Revelations of the Americas Before Columbus,21.8,3,Medium
"The Three Searches, Meaning, and the Story",13.33,3,Cheap
Searching for Meaning in Gailana,38.73,1,Medium
Rook,37.86,4,Medium
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,Cheap
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,Medium
Will You Won't You Want Me?,13.86,3,Cheap
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,Medium
The Star-Touched Queen,32.3,5,Medium
The Silent Sister (Riley MacPherson #1),46.29,5,Expensive
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,Medium
The Lonely City: Adventures in the Art of Being Alone,33.26,2,Medium
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,Expensive
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,Medium
The Epidemic (The Program 0.6),14.44,5,Cheap
The Dinner Party,56.54,2,Expensive
The Diary of a Young Girl,59.9,3,Expensive
The Children,11.88,3,Cheap
Stars Above (The Lunar Chronicles #4.5),48.05,2,Expensive
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,Medium
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,Expensive
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,Expensive
Psycho: Sanitarium (Psycho #1.5),36.97,5,Medium
Poisonous (Max Revere Novels #3),26.8,3,Medium
One with You (Crossfire #5),15.71,4,Cheap
No Love Allowed (Dodge Cove #1),54.65,4,Expensive
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Expensive
Most Wanted,35.28,3,Medium
"Love, Lies and Spies",20.55,2,Medium
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,Expensive
Hide Away (Eve Duncan #20),11.84,1,Cheap
Furiously Happy: A Funny Book About Horrible Things,41.46,4,Expensive
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,Medium
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,Expensive
Eleanor & Park,56.51,5,Expensive
Dirty (Dive Bar #1),40.83,4,Expensive
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,Expensive
Boar Island (Anna Pigeon #19),59.48,3,Expensive
A Paris Apartment,39.01,4,Medium
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,Medium
Troublemaker: Surviving Hollywood and Scientology,48.39,2,Expensive
The Widow,27.26,2,Medium
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,Cheap
The Improbability of Love,59.45,1,Expensive
The Art of Startup Fundraising,21.0,3,Medium
Take Me Home Tonight (Rock Star Romance #3),53.98,3,Expensive
Sleeping Giants (Themis Files #1),48.74,1,Expensive
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,Medium
Playing with Fire,13.71,3,Cheap
Off the Hook (Fishing for Trouble #1),47.67,3,Expensive
Mothering Sunday,13.34,2,Cheap
"Mother, Can You Not?",16.89,5,Cheap
M Train,27.18,1,Medium
Lilac Girls,17.28,2,Cheap
Lies and Other Acts of Love,45.14,1,Expensive
Lab Girl,40.85,1,Expensive
Keep Me Posted,20.46,4,Medium
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3,Expensive
Grey (Fifty Shades #4),48.49,4,Expensive
"Exit, Pursued by a Bear",51.34,4,Expensive
Daredevils,16.34,3,Cheap
Cravings: Recipes for What You Want to Eat,20.5,3,Medium
Born for This: How to Find the Work You Were Meant to Do,21.59,5,Medium
Arena,21.36,4,Medium
Adultery,20.88,5,Medium
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,Cheap
A Gentleman's Position (Society of Gentlemen #3),14.75,5,Cheap
11/22/63,48.48,3,Expensive
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,Medium
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,Expensive
Without Shame,48.27,5,Expensive
Watchmen,58.05,4,Expensive
Unlimited Intuition Now,58.87,4,Expensive
Underlying Notes,11.82,2,Cheap
The Shack,28.03,1,Medium
The New Brand You: Your New Image Makes the Sale for You,44.05,5,Expensive
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,Cheap
The Flowers Lied,16.68,2,Cheap
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,Expensive
The Book of Mormon,24.57,3,Medium
The Art and Science of Low Carbohydrate Living,52.98,5,Expensive
The Alien Club,54.4,1,Expensive
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,Expensive
Nap-a-Roo,25.08,1,Medium
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,Cheap
Modern Day Fables,47.44,2,Expensive
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,Medium
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,Medium
Dress Your Family in Corduroy and Denim,43.68,3,Expensive
Don't Forget Steven,33.23,1,Medium
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,Medium
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,Expensive
A Shard of Ice (The Black Symphony Saga #1),56.63,3,Expensive
A Hero's Curse (The Unseen Chronicles #1),50.49,3,Expensive
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2,Medium
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,Medium
Why Not Me?,17.76,1,Cheap
When Breath Becomes Air,39.36,2,Medium
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,Medium
